year,category,name,gender,born,age,country
1999,chemistry,Ahmed Zewail,male,1946-02-26 00:00:00,53,Egypt
1999,physics,Martinus J.G. Veltman,male,1931-06-27 00:00:00,68,the Netherlands
1998,economics,Amartya Sen,male,1933-11-03 00:00:00,65,India
1998,medicine,Ferid Murad,male,1936-09-14 00:00:00,62,USA
1998,medicine,Louis J. Ignarro,male,1941-05-31 00:00:00,57,USA
1998,medicine,Robert F. Furchgott,male,1916-06-04 00:00:00,82,USA
1998,chemistry,John Pople,male,1925-10-31 00:00:00,73,United Kingdom
1998,chemistry,Walter Kohn,male,1923-03-09 00:00:00,75,Austria
1998,physics,Daniel C. Tsui,male,1939-02-28 00:00:00,59,China
1998,physics,Horst L. Stormer,male,1949-04-06 00:00:00,49,Germany
1998,physics,Robert B. Laughlin,male,1950-11-01 00:00:00,48,USA
1997,physics,Claude Cohen-Tannoudji,male,1933-04-01 00:00:00,64,Algeria
1997,economics,Myron Scholes,male,1941-07-01 00:00:00,56,Canada
1997,economics,Robert C. Merton,male,1944-07-31 00:00:00,53,USA
1997,medicine,Stanley B. Prusiner,male,1942-05-28 00:00:00,55,USA
1997,chemistry,Jens C. Skou,male,1918-10-08 00:00:00,79,Denmark
1997,chemistry,John E. Walker,male,1941-01-07 00:00:00,56,United Kingdom
1997,chemistry,Paul D. Boyer,male,1918-07-31 00:00:00,79,USA
1997,physics,William D. Phillips,male,1948-11-05 00:00:00,49,USA
1997,physics,Steven Chu,male,1948-02-28 00:00:00,49,USA
1996,economics,William Vickrey,male,1914-06-21 00:00:00,82,Canada
1996,economics,James A. Mirrlees,male,1936-07-05 00:00:00,60,Scotland
1996,medicine,Rolf M. Zinkernagel,male,1944-01-06 00:00:00,52,Switzerland
1996,medicine,Peter C. Doherty,male,1940-10-15 00:00:00,56,Australia
1996,chemistry,Richard E. Smalley,male,1943-06-06 00:00:00,53,USA
1996,chemistry,Sir Harold Kroto,male,1939-10-07 00:00:00,57,United Kingdom
1996,chemistry,Robert F. Curl Jr.,male,1933-08-23 00:00:00,63,USA
1996,physics,Robert C. Richardson,male,1937-06-26 00:00:00,59,USA
1996,physics,Douglas D. Osheroff,male,1945-08-01 00:00:00,51,USA
1996,physics,David M. Lee,male,1931-01-20 00:00:00,65,USA
1995,medicine,Christiane Nusslein-Volhard,female,1942-10-20 00:00:00,53,Germany
1995,chemistry,Paul J. Crutzen,male,1933-12-03 00:00:00,62,the Netherlands
1995,economics,Robert E. Lucas Jr.,male,1937-09-15 00:00:00,58,USA
1995,medicine,Eric F. Wieschaus,male,1947-06-08 00:00:00,48,USA
1995,medicine,Edward B. Lewis,male,1918-05-20 00:00:00,77,USA
1995,chemistry,F. Sherwood Rowland,male,1927-06-28 00:00:00,68,USA
1995,chemistry,Mario J. Molina,male,1943-03-19 00:00:00,52,Mexico
1995,physics,Frederick Reines,male,1918-03-16 00:00:00,77,USA
1995,physics,Martin L. Perl,male,1927-06-24 00:00:00,68,USA
1994,economics,Reinhard Selten,male,1930-10-05 00:00:00,64,Poland
1994,economics,John F. Nash Jr.,male,1928-06-13 00:00:00,66,USA
1994,economics,John C. Harsanyi,male,1920-05-29 00:00:00,74,Hungary
1994,medicine,Martin Rodbell,male,1925-12-01 00:00:00,69,USA
1994,medicine,Alfred G. Gilman,male,1941-07-01 00:00:00,53,USA
1994,chemistry,George A. Olah,male,1927-05-22 00:00:00,67,Hungary
1994,physics,Clifford G. Shull,male,1915-09-23 00:00:00,79,USA
1994,physics,Bertram N. Brockhouse,male,1918-07-15 00:00:00,76,Canada
1993,economics,Douglass C. North,male,1920-11-05 00:00:00,73,USA
1993,economics,Robert W. Fogel,male,1927-07-01 00:00:00,66,USA
1993,medicine,Phillip A. Sharp,male,1944-06-06 00:00:00,49,USA
1993,medicine,Richard J. Roberts,male,1943-09-06 00:00:00,50,United Kingdom
1993,chemistry,Michael Smith,male,1932-04-26 00:00:00,61,United Kingdom
1993,chemistry,Kary B. Mullis,male,1944-12-28 00:00:00,49,USA
1993,physics,Joseph H. Taylor Jr.,male,1941-03-29 00:00:00,52,USA
1993,physics,Russell A. Hulse,male,1950-11-28 00:00:00,43,USA
1992,physics,Georges Charpak,male,1924-08-01 00:00:00,68,Poland
1992,economics,Gary Becker,male,1930-12-02 00:00:00,62,USA
1992,medicine,Edwin G. Krebs,male,1918-06-06 00:00:00,74,USA
1992,medicine,Edmond H. Fischer,male,1920-04-06 00:00:00,72,China
1992,chemistry,Rudolph A. Marcus,male,1923-07-21 00:00:00,69,Canada
1991,medicine,Erwin Neher,male,1944-03-20 00:00:00,47,Germany
1991,medicine,Bert Sakmann,male,1942-06-12 00:00:00,49,Germany
1991,chemistry,Richard R. Ernst,male,1933-08-14 00:00:00,58,Switzerland
1991,physics,Pierre-Gilles de Gennes,male,1932-10-24 00:00:00,59,France
1991,economics,Ronald H. Coase,male,1910-12-29 00:00:00,81,United Kingdom
1990,economics,William F. Sharpe,male,1934-06-16 00:00:00,56,USA
1990,economics,Merton H. Miller,male,1923-05-16 00:00:00,67,USA
1990,economics,Harry M. Markowitz,male,1927-08-24 00:00:00,63,USA
1990,medicine,E. Donnall Thomas,male,1920-03-15 00:00:00,70,USA
1990,medicine,Joseph E. Murray,male,1919-04-01 00:00:00,71,USA
1990,chemistry,Elias James Corey,male,1928-07-12 00:00:00,62,USA
1990,physics,Richard E. Taylor,male,1929-11-02 00:00:00,61,Canada
1990,physics,Henry W. Kendall,male,1926-12-09 00:00:00,64,USA
1990,physics,Jerome I. Friedman,male,1930-03-28 00:00:00,60,USA
1989,physics,Hans G. Dehmelt,male,1922-09-09 00:00:00,67,Germany
1989,economics,Trygve Haavelmo,male,1911-12-13 00:00:00,78,Norway
1989,medicine,Harold E. Varmus,male,1939-12-18 00:00:00,50,USA
1989,medicine,J. Michael Bishop,male,1936-02-22 00:00:00,53,USA
1989,chemistry,Thomas R. Cech,male,1947-12-08 00:00:00,42,USA
1989,chemistry,Sidney Altman,male,1939-05-07 00:00:00,50,Canada
1989,physics,Wolfgang Paul,male,1913-08-10 00:00:00,76,Germany
1989,physics,Norman F. Ramsey,male,1915-08-27 00:00:00,74,USA
1988,chemistry,Hartmut Michel,male,1948-07-18 00:00:00,40,Germany
1988,chemistry,Robert Huber,male,1937-02-20 00:00:00,51,Germany
1988,economics,Maurice Allais,male,1911-05-31 00:00:00,77,France
1988,medicine,George H. Hitchings,male,1905-04-18 00:00:00,83,USA
1988,medicine,Gertrude B. Elion,female,1918-01-23 00:00:00,70,USA
1988,medicine,Sir James W. Black,male,1924-06-14 00:00:00,64,Scotland
1988,chemistry,Johann Deisenhofer,male,1943-09-30 00:00:00,45,Germany
1988,physics,Jack Steinberger,male,1921-05-25 00:00:00,67,Germany
1988,physics,Melvin Schwartz,male,1932-11-02 00:00:00,56,USA
1988,physics,Leon M. Lederman,male,1922-07-15 00:00:00,66,USA
1987,chemistry,Jean-Marie Lehn,male,1939-09-30 00:00:00,48,France
1987,economics,Robert M. Solow,male,1924-08-23 00:00:00,63,USA
1987,medicine,Susumu Tonegawa,male,1939-09-05 00:00:00,48,Japan
1987,chemistry,Charles J. Pedersen,male,1904-10-03 00:00:00,83,South Korea
1987,chemistry,Donald J. Cram,male,1919-04-22 00:00:00,68,USA
1987,physics,K. Alex Muller,male,1927-04-20 00:00:00,60,Switzerland
1987,physics,J. Georg Bednorz,male,1950-05-16 00:00:00,37,Germany
1986,chemistry,Dudley R. Herschbach,male,1932-06-18 00:00:00,54,USA
1986,economics,James M. Buchanan Jr.,male,1919-10-03 00:00:00,67,USA
1986,medicine,Rita Levi-Montalcini,female,1909-04-22 00:00:00,77,Italy
