year;category;name;gender;born;age;country
1980;medicine;George D. Snell;male;1903;77;USA
1980;medicine;Baruj Benacerraf;male;1920;60;Venezuela
1980;chemistry;Walter Gilbert;male;1932;48;USA
1980;chemistry;Paul Berg;male;1926;54;USA
1980;chemistry;Frederick Sanger;male;1918;62;United Kingdom
1980;physics;Val Fitch;male;1923;57;USA
1980;physics;James Cronin;male;1931;49;USA
1979;economics;Sir Arthur Lewis;male;1915;64;Saint Lucia
1979;economics;Theodore W. Schultz;male;1902;77;USA
1979;medicine;Godfrey N. Hounsfield;male;1919;60;United Kingdom
1979;medicine;Allan M. Cormack;male;1924;55;South Africa
1979;chemistry;Georg Wittig;male;1897;82;Germany
1979;chemistry;Herbert C. Brown;male;1912;67;United Kingdom
1979;physics;Steven Weinberg;male;1933;46;USA
1979;physics;Abdus Salam;male;1926;53;Pakistan
1979;physics;Sheldon Glashow;male;1932;47;USA
1978;medicine;Werner Arber;male;1929;49;Switzerland
1978;economics;Herbert Simon;male;1916;62;USA
1978;medicine;Hamilton O. Smith;male;1931;47;USA
1978;medicine;Daniel Nathans;male;1928;50;USA
1978;chemistry;Peter Mitchell;male;1920;58;United Kingdom
1978;physics;Robert Woodrow Wilson;male;1936;42;USA
1978;physics;Arno Penzias;male;1933;45;Germany
1978;physics;Pyotr Kapitsa;male;1894;84;Russia
1977;chemistry;Ilya Prigogine;male;1917;60;Russia
1977;economics;Bertil Ohlin;male;1899;78;Sweden
1977;economics;James E. Meade;male;1907;70;United Kingdom
1977;medicine;Rosalyn Yalow;female;1921;56;USA
1977;medicine;Andrew V. Schally;male;1926;51;Lithuania
1977;medicine;Roger Guillemin;male;1924;53;France
1977;physics;John H. Van Vleck;male;1899;78;USA
1977;physics;Sir Nevill F. Mott;male;1905;72;United Kingdom
1977;physics;Philip W. Anderson;male;1923;54;USA
1976;medicine;D. Carleton Gajdusek;male;1923;53;USA
1976;economics;Milton Friedman;male;1912;64;USA
1976;medicine;Baruch S. Blumberg;male;1925;51;USA
1976;chemistry;William Lipscomb;male;1919;57;USA
1976;physics;Samuel C.C. Ting;male;1936;40;USA
1976;physics;Burton Richter;male;1931;45;USA
1975;chemistry;Vladimir Prelog;male;1906;69;Bosnia and Herzegovina
1975;economics;Tjalling C. Koopmans;male;1910;65;Netherlands
1975;economics;Leonid Vitaliyevich Kantorovich;male;1912;63;Russia
1975;medicine;Howard M. Temin;male;1934;41;USA
1975;medicine;Renato Dulbecco;male;1914;61;Italy
1975;medicine;David Baltimore;male;1938;37;USA
1975;chemistry;John Cornforth;male;1917;58;Australia
